arquivo,url_cloudinary
2162_1_GANCHO_LATONADO_15X30_SAO_RAFAEL_C_100.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951140/imagens_otimizadas_marketplace/2162_1_GANCHO_LATONADO_15X30_SAO_RAFAEL_C_100.jpg"
1721_1_ELETRODUTO_ZINC_3_4_LEVE_PERFIL_LIDER.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951140/imagens_otimizadas_marketplace/1721_1_ELETRODUTO_ZINC_3_4_LEVE_PERFIL_LIDER.jpg"
3796_1_PASSA_FIO_MEGATRON_C_ALMA_DE_ACO_10MT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951141/imagens_otimizadas_marketplace/3796_1_PASSA_FIO_MEGATRON_C_ALMA_DE_ACO_10MT.jpg"
0919_1_FUNDO_PREPARADOR_ZERO_MOFO_EUCATEX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951142/imagens_otimizadas_marketplace/0919_1_FUNDO_PREPARADOR_ZERO_MOFO_EUCATEX.jpg"
2729_2_PASSA_FIO_PROAQUA_SUPER_C_ALMA_DE_ACO15M.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951143/imagens_otimizadas_marketplace/2729_2_PASSA_FIO_PROAQUA_SUPER_C_ALMA_DE_ACO15M.jpg"
3598_1_CHAVE_BIELA_IMA_14MM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951143/imagens_otimizadas_marketplace/3598_1_CHAVE_BIELA_IMA_14MM.jpg"
"2152_1_DISCO_SPED_INOX_NORTON_4.1_2X7_8X1,0.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951144/imagens_otimizadas_marketplace/2152_1_DISCO_SPED_INOX_NORTON_4.1_2X7_8X1_0.jpg"
2889_2_PLUG_PLASTILIT_RR_1_2_X_1_2_BR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951145/imagens_otimizadas_marketplace/2889_2_PLUG_PLASTILIT_RR_1_2_X_1_2_BR.jpg"
1100_2_DESEMP_ACO_LISA_12X27_CASTOR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951145/imagens_otimizadas_marketplace/1100_2_DESEMP_ACO_LISA_12X27_CASTOR.jpg"
2650_3_MULTIMASSA_PRONTA_QUARTZOLIT_20K.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951146/imagens_otimizadas_marketplace/2650_3_MULTIMASSA_PRONTA_QUARTZOLIT_20K.jpg"
2314_3_UNIAO_P_TORN_PVC_3_4X1_2_GARDEN.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951147/imagens_otimizadas_marketplace/2314_3_UNIAO_P_TORN_PVC_3_4X1_2_GARDEN.jpg"
3129_2_PISTOLA_P_SILICONE_RAYCO_15W_PQ_BIV.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951148/imagens_otimizadas_marketplace/3129_2_PISTOLA_P_SILICONE_RAYCO_15W_PQ_BIV.jpg"
1582_3_RESIST_TIPO_BELLO_MAXI_5500X220V_PRATIMI.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951149/imagens_otimizadas_marketplace/1582_3_RESIST_TIPO_BELLO_MAXI_5500X220V_PRATIMI.jpg"
2187_1_INT._1S+TOM_2P+T_20A_C_PL_ARIA_C_20_TRAM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951150/imagens_otimizadas_marketplace/2187_1_INT._1S_TOM_2P_T_20A_C_PL_ARIA_C_20_TRAM.jpg"
2322_2_PARAF_P_VASO_LATAO_LUXO_1033_B10.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951151/imagens_otimizadas_marketplace/2322_2_PARAF_P_VASO_LATAO_LUXO_1033_B10.jpg"
1612_1_TALHADEIRA_REDONDA_3_4X12_LORD.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951152/imagens_otimizadas_marketplace/1612_1_TALHADEIRA_REDONDA_3_4X12_LORD.jpg"
1971_1_LUVA__CONSTRUCAO_VE730_09_DELTA_PLUS.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951153/imagens_otimizadas_marketplace/1971_1_LUVA__CONSTRUCAO_VE730_09_DELTA_PLUS.jpg"
1777_2_CORDA_POLIESTER_COLOR_12MM_CARRET_105M_F.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951154/imagens_otimizadas_marketplace/1777_2_CORDA_POLIESTER_COLOR_12MM_CARRET_105M_F.jpg"
2980_2_TORQUES_AZULEJISTA_05_SAO_ROMAO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951155/imagens_otimizadas_marketplace/2980_2_TORQUES_AZULEJISTA_05_SAO_ROMAO.jpg"
2531_1_DIABO_VERDE_LIQUIDO_1LT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951155/imagens_otimizadas_marketplace/2531_1_DIABO_VERDE_LIQUIDO_1LT.jpg"
2007_2_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.39.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951156/imagens_otimizadas_marketplace/2007_2_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.39.jpg"
3838_2_OLEO_DESENGRIPANTE_CHEMICOLOR_250M_120G.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951157/imagens_otimizadas_marketplace/3838_2_OLEO_DESENGRIPANTE_CHEMICOLOR_250M_120G.jpg"
3168_3_LONA_PRETA_4X100_30KG_(_G_)_SILO_NORTENE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951157/imagens_otimizadas_marketplace/3168_3_LONA_PRETA_4X100_30KG___G___SILO_NORTENE.jpg"
3992_2_LUVA_ESGOTO_SHIVA__50_X_50_BR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951158/imagens_otimizadas_marketplace/3992_2_LUVA_ESGOTO_SHIVA__50_X_50_BR.jpg"
"2660_3_OTTO_B.VEDAPREN_PAREDE_BR_GL_3,6KG_GALAO.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951159/imagens_otimizadas_marketplace/2660_3_OTTO_B.VEDAPREN_PAREDE_BR_GL_3_6KG_GALAO.jpg"
2144_1_CORANTE_XADREZ_50ML_VERMELHO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951160/imagens_otimizadas_marketplace/2144_1_CORANTE_XADREZ_50ML_VERMELHO.jpg"
1785_1_LIXA_FERRO_080_K-240_FERJA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951160/imagens_otimizadas_marketplace/1785_1_LIXA_FERRO_080_K-240_FERJA.jpg"
2081_3_ESPATULA_TRAMONTINA__08_C_CABO_PLASTICO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951161/imagens_otimizadas_marketplace/2081_3_ESPATULA_TRAMONTINA__08_C_CABO_PLASTICO.jpg"
2946_2_LAVATORIO_SABARA_BRANCO_MED_46X35CM_ICAS.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951162/imagens_otimizadas_marketplace/2946_2_LAVATORIO_SABARA_BRANCO_MED_46X35CM_ICAS.jpg"
3083_2_SIST_X_RADIAL_2TOM_20A_C_CX_1902215_BR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951163/imagens_otimizadas_marketplace/3083_2_SIST_X_RADIAL_2TOM_20A_C_CX_1902215_BR.jpg"
3132_3_ESTICADOR_P_CABO_ACO_RAYCO_E_1_2_-M12.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951164/imagens_otimizadas_marketplace/3132_3_ESTICADOR_P_CABO_ACO_RAYCO_E_1_2_-M12.jpg"
2944_3_LINHA_PEDREIRO_TRANCADA_POLIBEL_C_100_MT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951164/imagens_otimizadas_marketplace/2944_3_LINHA_PEDREIRO_TRANCADA_POLIBEL_C_100_MT.jpg"
3924_2_BOTINA_COURO_INFINITY_BIQ.PVC_CRIVAL_42.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951165/imagens_otimizadas_marketplace/3924_2_BOTINA_COURO_INFINITY_BIQ.PVC_CRIVAL_42.jpg"
1778_3_CORDA_POLIESTER_COLOR_10MM_CARRET_165M_F.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951166/imagens_otimizadas_marketplace/1778_3_CORDA_POLIESTER_COLOR_10MM_CARRET_165M_F.jpg"
1216_2_PORTA_GRELHA_PVC_QUAD_15CM_BR_GRAP.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951167/imagens_otimizadas_marketplace/1216_2_PORTA_GRELHA_PVC_QUAD_15CM_BR_GRAP.jpg"
2040_1_TRINCHA_CONDOR_700_F_2.1_2_PRETA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951167/imagens_otimizadas_marketplace/2040_1_TRINCHA_CONDOR_700_F_2.1_2_PRETA.jpg"
1230_1_SOQUETE_C__PLUG_E27_PT_FOXLUX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951168/imagens_otimizadas_marketplace/1230_1_SOQUETE_C__PLUG_E27_PT_FOXLUX.jpg"
1261_1_MARRETA_FUNDIDA_500G_C_CABO_TENACE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951169/imagens_otimizadas_marketplace/1261_1_MARRETA_FUNDIDA_500G_C_CABO_TENACE.jpg"
2811_3_GARFO_P_ROLO_23CM_GAIOLA_CASTOR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951170/imagens_otimizadas_marketplace/2811_3_GARFO_P_ROLO_23CM_GAIOLA_CASTOR.jpg"
"2412_3_PIA_ACO_INOX__1,20MT_GHEL_PLUS.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951171/imagens_otimizadas_marketplace/2412_3_PIA_ACO_INOX__1_20MT_GHEL_PLUS.jpg"
"3985_1_BROCA_MAKITA__SDS-__PLUS____8,0__X_160.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951172/imagens_otimizadas_marketplace/3985_1_BROCA_MAKITA__SDS-__PLUS____8_0__X_160.jpg"
3773_3_TORN_CR_JARDIM_ESFERA_1_2_FERTAK.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951173/imagens_otimizadas_marketplace/3773_3_TORN_CR_JARDIM_ESFERA_1_2_FERTAK.jpg"
3266_2_PITAO__8__C_BUCHA__C_100.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951174/imagens_otimizadas_marketplace/3266_2_PITAO__8__C_BUCHA__C_100.jpg"
1197_1_LIXA_FERRO_100_K296_TRIONITE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951175/imagens_otimizadas_marketplace/1197_1_LIXA_FERRO_100_K296_TRIONITE.jpg"
3849_3_BOT_EL_KADESH_COMBAT_100%_PP_N43.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951175/imagens_otimizadas_marketplace/3849_3_BOT_EL_KADESH_COMBAT_100__PP_N43.jpg"
3929_2_LIMA_LS_GROSA_REDONDA_10_ENCARTELADO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951176/imagens_otimizadas_marketplace/3929_2_LIMA_LS_GROSA_REDONDA_10_ENCARTELADO.jpg"
1855_1_BOTA_PVC_PT_SOLA_AM_C_FORRO_43_PEGAFORTE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951176/imagens_otimizadas_marketplace/1855_1_BOTA_PVC_PT_SOLA_AM_C_FORRO_43_PEGAFORTE.jpg"
3783_3_PULVERIZADOR_P_PLANTA_FERTAK__500ML_6913.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951177/imagens_otimizadas_marketplace/3783_3_PULVERIZADOR_P_PLANTA_FERTAK__500ML_6913.jpg"
3072_1_CJ_RADIAL_POLLAR_1TOM_2P+T_10A_1901113.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951178/imagens_otimizadas_marketplace/3072_1_CJ_RADIAL_POLLAR_1TOM_2P_T_10A_1901113.jpg"
2025_3_FITA_DUPLA-FACE_3M_FORTE_TRANSP.19MMX2MT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951179/imagens_otimizadas_marketplace/2025_3_FITA_DUPLA-FACE_3M_FORTE_TRANSP.19MMX2MT.jpg"
3895_3_FRISO_P_PORTA_ALUMINIO__80CM_ALUREM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951180/imagens_otimizadas_marketplace/3895_3_FRISO_P_PORTA_ALUMINIO__80CM_ALUREM.jpg"
2373_2_FECHAD_STAM_502_ESTREITA_27MM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951180/imagens_otimizadas_marketplace/2373_2_FECHAD_STAM_502_ESTREITA_27MM.jpg"
1661_2_SUP_TV_LCD_LED_FIXO_UNIV_14_105_PRIME_TE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951181/imagens_otimizadas_marketplace/1661_2_SUP_TV_LCD_LED_FIXO_UNIV_14_105_PRIME_TE.jpg"
0845_1_LUVA_MAO_LATEX_FORR_AM_07CM_TOP_(M)_SANR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951183/imagens_otimizadas_marketplace/0845_1_LUVA_MAO_LATEX_FORR_AM_07CM_TOP__M__SANR.jpg"
1112_1_CJ_MILL_4X2_BR_(2S)_21003_MEC.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951184/imagens_otimizadas_marketplace/1112_1_CJ_MILL_4X2_BR__2S__21003_MEC.jpg"
1787_3_LIXA_D_AGUA_1500_L-420_FERJA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951185/imagens_otimizadas_marketplace/1787_3_LIXA_D_AGUA_1500_L-420_FERJA.jpg"
"1631_3_EXTEN_TRIP_PL_2P_10A_2X0,75X05M_PT_MEGAT.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951185/imagens_otimizadas_marketplace/1631_3_EXTEN_TRIP_PL_2P_10A_2X0_75X05M_PT_MEGAT.jpg"
3247_2_ARALDITE_TEKBOND_HOBBY_23GR_10_MIN..jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951186/imagens_otimizadas_marketplace/3247_2_ARALDITE_TEKBOND_HOBBY_23GR_10_MIN..jpg"
2010_3_ANEL_VEDACAO_VASO_SANIT.ARTBOR_C_GUIA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951188/imagens_otimizadas_marketplace/2010_3_ANEL_VEDACAO_VASO_SANIT.ARTBOR_C_GUIA.jpg"
2849_1_DESEMP_PVC_EMAVE_AZUL_CORRUGADA_18X30.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951189/imagens_otimizadas_marketplace/2849_1_DESEMP_PVC_EMAVE_AZUL_CORRUGADA_18X30.jpg"
2627_1_DISCO_DIAM_HAMMER_TURBO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951190/imagens_otimizadas_marketplace/2627_1_DISCO_DIAM_HAMMER_TURBO.jpg"
2436_3_CINTO_P_FERRAMENTAS_C_11_BOLSOS_EDA_9FT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951192/imagens_otimizadas_marketplace/2436_3_CINTO_P_FERRAMENTAS_C_11_BOLSOS_EDA_9FT.jpg"
1651_1_PARAF_CAIXINHA_LUZ_PHS_9_64_11_2_NEW-FIX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951193/imagens_otimizadas_marketplace/1651_1_PARAF_CAIXINHA_LUZ_PHS_9_64_11_2_NEW-FIX.jpg"
0030_1_TRINCHA_500X_1_2_TIGRE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951193/imagens_otimizadas_marketplace/0030_1_TRINCHA_500X_1_2_TIGRE.jpg"
